n_sims,method,var_mean,var_std,cvar_mean,cvar_std,var_rmse,cvar_rmse,time_mean,time_std
100,MC,-0.007018462684943696,0.0009094927869807997,-0.008884034196014093,0.0009382925475635138,0.0009671910070940424,0.001003382534163353,4.2319297790527344e-05,9.702698852108335e-06
100,QMC-Sobol,-0.0071181586310487795,0.00047518052036305507,-0.009216859524256011,0.0005406510776689916,0.0005276409531165641,0.0005411265494672106,0.0005907869338989258,0.0013732159567642658
100,QMC-Halton,-0.007242560316824683,0.0004114277111022436,-0.009210123978291053,0.0005093533433633974,0.0004246058469511722,0.0005102019863573277,0.00038980484008789063,0.0002657557520718111
500,MC,-0.007307242358399282,0.00042621526228698724,-0.009206956416033663,0.00046620826859489504,0.00042811453635835633,0.00046734544924447835,6.680011749267578e-05,3.7238173433841855e-06
500,QMC-Sobol,-0.007313636788058814,0.00014787854828646316,-0.009233863878402195,8.763904638130436e-05,0.00015171158370569685,8.782259668382977e-05,0.00047333717346191405,0.0005905892498276449
500,QMC-Halton,-0.007288080026051659,0.0001925001943767349,-0.009232947086133625,0.00014929075344769736,0.00020146936405720424,0.00014943621137336518,0.0004506540298461914,0.0002616530437225081
1000,MC,-0.007335800143773471,0.00030988886225655297,-0.009275824333472732,0.0004045878803531424,0.00031011055210794606,0.0004062117484019669,9.679317474365235e-05,5.5906975913061465e-06
1000,QMC-Sobol,-0.007338919242761833,0.00011882888709047387,-0.009233375854857444,4.391501592970717e-05,0.0001191400241475804,4.434537102644483e-05,0.00043906688690185545,0.0002519155351376359
1000,QMC-Halton,-0.007338955665552117,9.20315433733158e-05,-0.009218177633468884,7.455898170831186e-05,9.242954308171308e-05,7.755866226149588e-05,0.0012838411331176757,0.00289303895241605
2000,MC,-0.0072919079731448245,0.00020611151327967387,-0.009185757514355866,0.0001968319219796898,0.00021348323711690615,0.0002040471625376949,0.00022623062133789062,0.00011383770515694595
2000,QMC-Sobol,-0.00733581309642437,6.716709425567693e-05,-0.009233620094076345,2.9786773088870518e-05,6.818036805326026e-05,3.0369133825927198e-05,0.0005886363983154297,0.0006552224732164933
2000,QMC-Halton,-0.007340091543178979,6.74802416377224e-05,-0.00922343643231631,3.563671001433894e-05,6.788831746441623e-05,3.910581851216234e-05,0.0005670213699340821,2.523756374531582e-05
5000,MC,-0.007345103421742917,0.00012908760246620226,-0.009235784974153368,0.00015470642813004355,0.00012911029415303582,0.000154751965980523,0.0017769527435302734,0.001833707714609629
5000,QMC-Sobol,-0.007348961833315871,2.810549181372991e-05,-0.009230376642268966,1.166859169456037e-05,2.8142249113992783e-05,1.4835877774517608e-05,0.0011253309249877929,0.0006908061225497598
5000,QMC-Halton,-0.007346184624096952,4.505854290010212e-05,-0.009234371998341059,2.0398253303975733e-05,4.507844358382334e-05,2.1042475214121864e-05,0.0020249509811401368,0.0009835126960502378
10000,MC,-0.007349866736755484,7.359380806019602e-05,-0.009228913934794863,0.00010055821105841792,7.363108885147682e-05,0.00010111797075958346,0.0014527606964111327,0.0009213161252315856
10000,QMC-Sobol,-0.007340045344939643,2.5637732804037996e-05,-0.009232556927187467,7.320405252927028e-06,2.6706232274068138e-05,1.0116149639796776e-05,0.001278977394104004,0.0006711077874221872
10000,QMC-Halton,-0.0073439630314241,2.3800270104777147e-05,-0.00923206267268722,1.0147509629484026e-05,2.4065181936576333e-05,1.2604211487287364e-05,0.004041786193847656,0.0017907367230414974
20000,MC,-0.007344183246503783,8.006465566219318e-05,-0.009231645194849996,9.202134312038221e-05,8.013432080359237e-05,9.235928975312652e-05,0.0019026422500610352,0.0009046830476941288
20000,QMC-Sobol,-0.007346875553575001,1.2975336427780098e-05,-0.00923286440576607,3.3922887932258296e-06,1.2991526866740013e-05,7.487101813861059e-06,0.002507610321044922,0.0011013666472139269
20000,QMC-Halton,-0.0073434433463753545,1.5439616035212607e-05,-0.009230436118073613,6.07358757007657e-06,1.5969754234825033e-05,1.0943005688162496e-05,0.008457183837890625,0.0041016474881251834
